,filename,question,remarks
0,JSP 317 Part 1.pdf,What steps do I have to take to decommission a fuel installation?,
1,JSP 317 Part 2.pdf,What should I do in an emergency situation on a bulk fuel carrying vehicle?,
2,JSP 319 Part 1.odt,What is the remit of the petroleum inspectorate?,
3,JSP 319 Part 2.odt,What PPE should I wear in a cryogenic environment?,Table
4,JSP 342 Part 1.pdf,How do I continue my child's education when I am assigned overseas?,
5,JSP 360 Part 1.pdf,What fees should be charged to civilian users of military airfields?,
6,JSP 360 Part 2.pdf,What are the insurance requirements for civilian aircraft conducting flying displays at a military event?,
7,JSP 368.pdf,Under what circumstances does the MOD charge other government departments for services?,
8,JSP 375 Vol 1 Ch 1.pdf,What contingency plans must I have as a head of establishment?,
9,JSP 375 Vol 1 Ch 10.pdf,When do I not need to do a formal risk assessment for manual handling activities?,
10,JSP 375 Vol 1 Ch 11.pdf,How do I carry out a COSHH risk assessment?,
11,JSP 375 Vol 1 Ch 12.pdf,Can I get money towards glasses because I regularly use display screen equipment?,
12,JSP 375 Vol 1 Ch 13.pdf,Am I allowed to smoke in service families' accommodation?,
13,JSP 375 Vol 1 Ch 14.pdf,Under what circumstances do I need to conduct health surveillance and monitoring as a line manager?,
14,JSP 375 Vol 1 Ch 15.pdf,How do I test the fit of respiratory protective equipment?,
15,JSP 375 Vol 1 Ch 16.pdf,When do accidents have to be reported to the health and safety executive?,
16,JSP 375 Vol 1 Ch 17.pdf,Where can I get support for work-related stress?,
17,JSP 375 Vol 1 Ch 18.pdf,Are my staff allowed to work alone in the office after other people have gone home?,
18,JSP 375 Vol 1 Ch 19.pdf,Which additional risks should be considered when employing young people?,
19,JSP 375 Vol 1 Ch 2.pdf,What are my responsibilities as a manager when it comes to health and safety?,
20,JSP 375 Vol 1 Ch 20.pdf,What form should I use to record a road accident?,
21,JSP 375 Vol 1 Ch 21.pdf,What factors should I consider when managing a staff member who works remotely?,Table
22,JSP 375 Vol 1 Ch 22.pdf,What does PUWER legislation require of me as an employer?,
23,JSP 375 Vol 1 Ch 23.pdf,What are the main causes of electrical fires in Defence?,
24,JSP 375 Vol 1 Ch 24.pdf,Under what circumstances can I apply for an exemption from LOLER legislation?,
25,JSP 375 Vol 1 Ch 25.pdf,What is UEAV?,
26,JSP 375 Vol 1 Ch 26.pdf,When do I have to carry out a vibration risk assessment?,
27,JSP 375 Vol 1 Ch 27.pdf,What is the minimum height that counts as 'working at height'?,
28,JSP 375 Vol 1 Ch 28.pdf,What risks may be present in confined spaces?,
29,JSP 375 Vol 1 Ch 29.pdf,Who is responsible for organising the maintenance of pressure systems?,
30,JSP 375 Vol 1 Ch 3.pdf,What form should I use to record a road accident?,
